name,smiles,peaks,solvent,freq,source
nmrshiftdb_2416,Oc1ccc(COCc2ccc(O)c(Cc3ccc(O)cc3)c2)cc1,"156.32,155.36,154.83,134.29,131.23,130.60,129.49,129.29,129.02,128.96,126.56,115.81,115.79,115.40,71.72,71.51,35.24",Chloroform-d,125.0,nmrshiftdb2:2416
nmrshiftdb_2336,O=C1c2ccccc2C(=O)c2c1ccc(O)c2O,"188.70,180.40,152.70,150.70,135.00,133.90,133.50,132.70,126.60,126.40,123.70,121.10,120.80,116.10",Methanol-d4,75.5,nmrshiftdb2:2336
nmrshiftdb_2426,CC1CC(=O)N2CCCC3=C(C1)C(=O)OC3CCC2,"173.30,172.30,162.40,126.50,81.70,50.10,49.30,39.90,32.40,31.70,29.00,26.10,25.10,23.40,17.80",Chloroform-d,100.0,nmrshiftdb2:2426
nmrshiftdb_2295,C=C1C(=O)C23CC1CC(O)C2C1(CCCC2(C)COC(OC)C21)COC3=O,"200.00,171.60,151.40,118.10,107.50,82.10,74.20,65.60,54.40,49.70,44.20,42.30,38.70,38.20,35.30,35.10,34.40,26.80,25.00,19.50",Pyridin-D5 (C5D5N),100.0,nmrshiftdb2:2295
nmrshiftdb_2230,C=Cn1cccc1-c1cccn1C=C,"131.27,123.70,117.72,113.29,110.03,97.86",Chloroform-d,62.5,nmrshiftdb2:2230
nmrshiftdb_2474,C=C(C)C1CCC2=C(C1)C(C)C(O)C(O)C2,"148.90,129.00,124.90,109.00,79.20,71.50,41.70,40.50,38.40,31.20,29.70,26.60,21.10,16.50",Chloroform-d,100.0,nmrshiftdb2:2474
nmrshiftdb_2351,O=C(O)C1CCC2C=COC(OC3OC(CO)C(O)C(O)C3O)C21,"179.50,140.70,107.60,99.70,95.50,78.10,77.90,74.70,71.40,62.60,46.40,45.80,34.60,33.00,29.00",Methanol-d4,100.0,nmrshiftdb2:2351
nmrshiftdb_2263,CC(C)=CCc1cc2c(cc1O)OC(c1ccc3c(c1)C=CC(C)(C)O3)CC2=O,"191.60,162.60,162.10,153.80,136.00,131.70,131.30,128.80,127.60,124.80,122.40,122.20,121.80,121.60,116.90,115.20,104.10,80.10,77.60,44.50,29.40,28.50,26.20,18.30",Chloroform-d,75.0,nmrshiftdb2:2263
nmrshiftdb_2462,CC1CC=C2C1C1C(CC(O)C2(C)O)C1(C)C,"151.80,126.80,76.40,73.50,42.80,38.10,37.50,29.70,28.40,25.20,24.80,23.00,19.60,15.70,15.00",Chloroform-d,50.0,nmrshiftdb2:2462
nmrshiftdb_2192,CC=C(C)c1cc(O)c(C)c(O)c1C(=O)Oc1cc(C(C)=CC)c(C(=O)O)c(O)c1C,"171.70,168.10,159.80,159.50,151.20,146.00,145.60,137.50,137.40,121.00,120.90,116.40,113.20,112.40,109.40,108.40,104.60,18.30,18.20,13.70,13.50,9.00,8.10",DMSO-d6,125.0,nmrshiftdb2:2192
nmrshiftdb_2237,O=C1c2c(-c3ccccc3)ccc3ccc4c(c23)C2C3c5c(ccc6ccc(-c7ccccc7)c(c56)C(=O)C3(O)O4)OC12O,"193.28,153.00,145.34,141.41,132.24,131.39,131.29,129.30,128.98,128.40,127.60,127.39,123.27,121.46,117.21,91.91,34.05",Acetone-D6 ((CD3)2CO),125.75,nmrshiftdb2:2237
nmrshiftdb_2473,CCc1c(C(=O)OC)c(C=O)c2n(c1=O)CCc1c-2[nH]c2cccc(OC)c12,"189.92,164.52,160.11,155.27,149.21,139.55,132.48,132.34,126.38,125.80,118.51,117.88,110.55,106.89,99.81,55.23,52.25,40.49,21.91,20.43,13.09",Chloroform-d,250.0,nmrshiftdb2:2473
nmrshiftdb_2334,CC1=CC=C(O)C2(CO)CC3OC(=O)C(O)(CO)C3C=C12,"177.35,157.91,141.60,132.98,127.94,111.87,96.65,79.05,77.71,66.08,65.46,49.63,48.68,36.69,22.97",Chloroform-d,100.0,nmrshiftdb2:2334
nmrshiftdb_2331,CC#CC#CCC=CC=CC(=O)NCC(C)C,"166.10,140.20,138.90,129.70,123.20,87.03,77.70,68.20,64.90,46.90,31.20,28.50,20.05,4.17",Chloroform-d,150.0,nmrshiftdb2:2331
nmrshiftdb_2384,COc1cc(O)c(C2COc3cc(O)cc(O)c3C2=O)cc1CC=C(C)C,"198.29,166.58,165.07,163.96,157.90,153.99,133.00,130.55,122.09,121.62,112.52,102.89,100.83,96.83,95.73,69.90,55.32,45.86,26.07,20.06,19.86",Chloroform-d,100.0,nmrshiftdb2:2384
nmrshiftdb_2376,C=C1CC2(C)CCC1CC1C(C)CCC12,"151.77,108.32,46.89,46.55,42.35,40.56,37.71,37.11,36.38,33.04,31.90,27.01,26.73,25.71,19.11",Benzene-D6 (C6D6),100.0,nmrshiftdb2:2376
nmrshiftdb_2500,O=C(O)C(O)=Cc1ccc(O)cc1,"166.70,156.80,139.30,131.00,126.00,115.30,110.50",Methanol-d4,100.0,nmrshiftdb2:2500
nmrshiftdb_2391,O=C(OCc1ccccc1)c1c(O)cccc1OC1OC(CO)C(O)C(O)C1O,"169.26,157.87,156.01,134.20,134.04,129.40,129.10,128.80,111.55,110.59,108.00,100.90,76.90,76.40,73.70,70.20,68.13,61.50",Methanol-d4,100.0,nmrshiftdb2:2391
nmrshiftdb_2466,CC(=O)OC1CC(C)(C)C2=C(O)C(=O)C3=C(C(=O)C(OC(C)=O)C4(CC4C)C3=O)C2(C)C1,"194.70,190.40,176.80,169.90,161.50,145.80,139.30,130.50,77.30,66.90,41.00,40.70,35.10,34.80,34.30,29.10,27.50,26.20,25.60,22.30,21.00,20.10,12.60",Chloroform-d,100.4,nmrshiftdb2:2466
nmrshiftdb_2371,CC(C)CC(=O)OC1CCC(C)C2(C)C1=CC(=O)C1C2C1(C)C,"196.55,172.91,170.31,122.68,72.57,43.10,41.97,40.25,37.05,35.47,31.33,30.66,27.58,26.76,25.68,23.01,22.37,20.01,16.54",Chloroform-d,125.0,nmrshiftdb2:2371
nmrshiftdb_2242,CC1OC(Oc2ccc3ccc(=O)oc3c2-c2cc3ccc(=O)oc3cc2O)C(O)C(O)C1O,"160.80,160.20,158.60,156.40,155.20,152.20,144.40,143.90,131.00,128.70,115.10,114.60,113.90,113.70,112.30,112.00,111.80,103.30,96.80,73.80,72.70,71.60,70.90,16.60",Methanol-d4,100.0,nmrshiftdb2:2242
nmrshiftdb_2260,N#CC(OC1OC(CO)C(O)C(O)C1O)c1ccccc1,"135.01,130.88,130.07,128.91,119.58,99.94,75.74,72.92,72.01,68.77,68.38,63.12",Methanol-d4,150.0,nmrshiftdb2:2260
nmrshiftdb_2453,C=C1c2ccoc2CC2C1CC(OC(=O)c1ccccc1)C1(O)C(C)(C)CCCC21C,"165.70,152.20,142.00,141.30,133.10,130.40,129.70,128.60,118.70,106.30,104.20,76.10,72.30,44.10,41.53,38.90,38.00,34.50,31.60,27.21,25.66,22.30,18.20,17.10",Chloroform-d,100.0,nmrshiftdb2:2453
nmrshiftdb_2396,CC(=O)c1c(C)cc2c(O)ccc(OC3OC(COC4OCC(O)C(O)C4O)C(O)C(O)C3O)c2c1O,"205.20,150.30,148.30,147.00,131.50,126.40,125.70,114.10,114.00,112.20,109.10,104.30,103.50,76.60,76.30,73.50,70.00,69.80,68.70,65.70,32.10,19.50",DMSO-d6,125.0,nmrshiftdb2:2396
nmrshiftdb_2418,CC1NC(=O)C23CC(O)C4C(CCC5=CC(=O)C=CC54C)C2CCC13,"186.90,183.80,168.70,159.10,126.60,124.80,77.20,67.80,61.60,60.00,59.40,53.70,44.40,43.70,34.10,33.10,33.00,29.70,23.20,18.80,16.40",Chloroform-d,75.0,nmrshiftdb2:2418
nmrshiftdb_2388,COc1c(-c2ccc3c(c2)OCO3)oc2c(OC)c(O)cc(O)c2c1=O,"178.00,156.80,155.10,153.77,149.27,148.50,147.79,137.60,127.40,124.30,122.91,108.56,108.51,104.00,101.66,98.70,61.11,60.90",Pyridin-D5 (C5D5N),100.0,nmrshiftdb2:2388
nmrshiftdb_2380,COc1cc2c(=O)oc3c(OC4OC(C)C(O)C(OC(C)=O)C4OC(C)=O)c(O)cc4c(=O)oc(c1O)c2c34,"170.60,170.30,159.70,159.50,154.40,151.00,143.90,142.80,137.70,136.90,115.30,114.60,112.50,112.20,107.70,107.50,100.70,73.10,72.20,70.60,70.50,56.60,20.90,20.70,18.40",Pyridin-D5 (C5D5N),75.6,nmrshiftdb2:2380
nmrshiftdb_2215,CC=C1C2CC3C4=Nc5ccccc5C4(C2C(=O)OC)C2C(O)ON3C12,"184.30,171.10,157.60,140.00,131.50,128.70,125.50,121.60,120.40,99.40,64.90,61.90,55.70,54.80,52.60,51.70,34.10,31.00,12.40",DMSO-d6,125.0,nmrshiftdb2:2215
nmrshiftdb_2306,Cc1coc2c1CC1C(C)C=CC(=O)C1(C)C2,"203.12,153.68,146.39,137.10,126.77,120.74,116.87,44.19,42.84,36.41,36.34,23.91,18.67,18.23,8.16",Chloroform-d,125.0,nmrshiftdb2:2306
nmrshiftdb_2302,COc1cccc(CCc2ccc(OC)c(OC)c2)c1,"159.57,148.70,147.20,143.44,134.04,129.30,120.72,120.05,114.18,111.72,111.50,111.27,55.90,55.80,55.15,36.95,36.46",Chloroform-d,150.0,nmrshiftdb2:2302
nmrshiftdb_2197,CC1=C2CCC(C)C2C2C(CC1=O)C2(C)C,"200.19,165.00,130.56,43.62,39.65,37.33,33.91,32.00,28.81,22.08,20.55,19.51,18.81,15.90,15.00",Chloroform-d,50.0,nmrshiftdb2:2197
nmrshiftdb_2307,CC(=O)OCC12C(OC(C)=O)C(O)C(C)C(C)(CCc3ccoc3)C1CCC(O)C21CO1,"171.05,170.60,142.80,138.37,125.12,110.74,77.55,71.59,67.83,65.01,61.18,48.06,47.36,45.60,43.44,40.50,37.74,29.38,21.60,20.43,18.57,18.32,17.62,13.06",Acetone-D6 ((CD3)2CO),75.0,nmrshiftdb2:2307
nmrshiftdb_2443,O=Cc1ccc(COc2ccccc2O)o1,"177.70,155.80,153.00,146.10,145.00,122.90,121.70,120.30,115.40,112.80,112.20,63.70",Chloroform-d,75.0,nmrshiftdb2:2443
nmrshiftdb_2370,COC1=CC(=O)OC(C=Cc2ccc(OC)c(OC)c2)C1,"172.07,165.37,148.49,148.20,132.22,130.43,124.48,120.14,111.31,110.46,90.69,76.40,56.73,55.80,29.61",Chloroform-d,125.0,nmrshiftdb2:2370
nmrshiftdb_2319,CC(C)=CCC1=C(O)C(=O)c2c(O)ccc(O)c2C1=O,"183.87,182.06,164.70,159.46,155.37,133.40,132.35,129.34,123.04,121.40,111.55,111.04,22.86,20.28,20.10",Chloroform-d,100.0,nmrshiftdb2:2319
nmrshiftdb_2290,CC(C)=CCCC(C)=CCc1c(O)cc(CC(C)O)oc1=O,"164.76,164.48,160.98,134.50,130.67,124.05,121.70,100.88,100.73,64.01,42.77,39.20,26.11,25.25,23.39,21.69,17.50,15.90",DMSO-d6,125.0,nmrshiftdb2:2290
nmrshiftdb_2266,COc1cc2oc3cc(O)cc(C)c3c2c(C)c1Cl,"160.00,157.04,156.22,155.40,133.25,130.62,119.72,119.31,116.02,115.30,96.18,93.86,56.70,25.16,18.82",Methanol-d4,125.0,nmrshiftdb2:2266
nmrshiftdb_2321,COc1cc(O)c(C(=O)CCc2ccc(O)cc2)c(OC2OC(CO)C(O)C(O)C2O)c1,"205.40,166.30,166.10,161.30,156.30,132.50,130.30,116.00,107.30,101.80,96.30,94.60,77.17,75.53,73.90,69.67,60.61,56.40,46.30,30.00",DMSO-d6,75.0,nmrshiftdb2:2321
nmrshiftdb_2326,CC(C)=CCc1c(O)cc(O)c2c1OC(c1ccc3c(c1)CCC(C)(C)O3)CC2=O,"198.65,164.96,162.99,160.79,152.38,131.90,131.70,128.32,124.15,122.57,120.32,117.51,108.44,103.39,96.39,78.39,73.30,42.35,32.46,26.50,24.50,23.63,21.90,19.74,19.68",Chloroform-d,100.0,nmrshiftdb2:2326
nmrshiftdb_2252,C1=Cc2ccc(C3CCc4ccccc43)cc2C1,"148.00,145.00,144.80,143.90,142.70,134.40,132.50,127.10,127.00,125.70,125.00,124.20,121.40,52.40,39.70,37.60,32.50",Chloroform-d,150.0,nmrshiftdb2:2252
nmrshiftdb_2324,OCC1OC(Oc2ccc(C=Cc3cc(O)cc(OC4OC(CO)C(O)C(O)C4O)c3)cc2)C(O)C(O)C1O,"160.10,159.50,158.20,140.80,133.00,131.30,130.90,130.40,117.60,111.40,109.30,104.40,102.40,78.20,77.90,75.00,71.50,62.60",Methanol-d4,125.0,nmrshiftdb2:2324
nmrshiftdb_2365,COc1cc(C2OCC3C(c4ccc5c(c4)OCO5)OCC23)cc2c1OCO2,"150.70,148.20,147.40,145.10,136.42,136.30,135.60,119.60,108.30,107.80,106.60,102.70,101.30,101.10,88.25,82.05,70.83,69.51,57.50,53.48,50.30",Chloroform-d,125.0,nmrshiftdb2:2365
nmrshiftdb_2501,COC1=C(N)C(=O)c2nc(-c3[nH+]c(C(=O)[O-])c(C)c(-c4ccc(OC)c(OC)c4O)c3N)ccc2C1=O,"180.65,176.55,166.30,153.60,147.50,146.40,144.70,143.33,143.09,141.30,137.40,136.85,136.55,134.90,133.80,129.12,127.20,126.05,125.10,115.25,104.80,60.50,59.95,55.80,17.20","Tetrahydrofuran-D8 (THF-D8, C4D4O)",100.21,nmrshiftdb2:2501
nmrshiftdb_2428,CC(C)=CC(=O)OC1C=CC(C)(CC=CC(C)(C)O)CC=C(CO)C(=O)C=CC1(C)O,"202.40,167.04,156.80,154.90,145.20,142.90,141.70,128.90,128.60,123.20,122.00,115.30,81.50,74.10,70.60,64.80,43.50,40.90,40.60,29.70,29.60,23.20,23.19,22.90,22.60",Chloroform-d,75.0,nmrshiftdb2:2428
nmrshiftdb_2227,CC1(C)C=Cc2c(cc3c(c2O)C(=O)OC3)O1,"172.79,161.95,157.39,151.31,128.09,116.26,108.72,105.17,102.73,76.85,68.93,29.26,27.26",Chloroform-d,75.0,nmrshiftdb2:2227
nmrshiftdb_2468,CCC(C)C(=O)OC1C(=O)c2c(O)cc(O)cc2OC1c1ccccc1,"191.70,175.10,165.10,164.20,162.50,135.00,129.60,128.70,127.60,101.90,97.30,95.80,81.50,71.90,40.70,26.40,16.40,10.90",Chloroform-d,100.0,nmrshiftdb2:2468
nmrshiftdb_2415,C=C1C(OC(C)=O)CCC2(C)CCC(C(O)(CO)CO)CC12O,"170.40,148.98,108.19,76.54,76.08,75.44,65.99,63.99,38.25,37.93,31.74,31.38,30.86,28.52,21.99,21.62,20.34",Chloroform-d,125.0,nmrshiftdb2:2415
nmrshiftdb_2299,COc1ccc(C2CC(=O)c3c(O)cc4c(c3O2)C=CC(C)(C)O4)cc1O,"196.82,164.00,162.50,157.59,147.77,146.34,132.12,126.70,117.67,115.80,113.84,112.03,103.46,102.10,97.80,78.30,78.19,55.50,43.28,29.40,27.70",Chloroform-d,100.0,nmrshiftdb2:2299
nmrshiftdb_2271,COc1cc(O)c2c(C=O)c(-c3ccc(OC)c(O)c3OC)oc2c1,"192.76,162.79,162.30,157.85,152.81,148.85,148.01,139.20,123.70,121.95,114.55,108.58,106.37,99.50,89.28,59.82,56.70,56.14",Acetone-D6 ((CD3)2CO),100.0,nmrshiftdb2:2271
nmrshiftdb_2422,Oc1ccc(C2Oc3cc(O)c(Cl)c(O)c3CC2O)cc1O,"155.50,153.40,152.09,146.62,145.68,131.90,119.65,115.73,115.08,102.02,100.18,96.62,82.90,68.28,27.89",Methanol-d4,75.5,nmrshiftdb2:2422
nmrshiftdb_2209,CC1(Cl)CC2OC3(Br)C=CC(C)(O)C2(CC1Br)C3(C)C,"134.50,132.70,99.80,77.60,74.40,69.30,59.60,53.60,49.30,46.30,34.50,33.90,25.30,24.70,23.60",Chloroform-d,75.47,nmrshiftdb2:2209
nmrshiftdb_2261,C=C1C(OC(C)=O)CC2C3C1C2(C)CCCC3(C)C,"170.10,152.00,107.50,68.00,52.50,50.50,43.60,41.90,39.70,39.40,34.90,32.90,28.40,27.90,23.40,21.80,21.00",Benzene-D6 (C6D6),125.7,nmrshiftdb2:2261
nmrshiftdb_2323,CC(C)=CCc1c(O)ccc2c1OCc1c-2oc2cc(O)ccc12,"155.49,154.41,153.77,153.30,149.77,129.84,122.88,121.62,121.14,119.30,117.09,112.19,111.00,109.80,107.58,98.20,65.18,21.06,20.40,19.82",Chloroform-d,150.0,nmrshiftdb2:2323
nmrshiftdb_2300,C=C(C)C1=CC=CC(C)(C)O1,"157.66,134.80,124.97,121.23,114.17,99.22,76.70,30.01,28.01,19.47",Unreported,100.0,nmrshiftdb2:2300
nmrshiftdb_2404,CC(=O)OC1CC2(C)CCC=C(C)C2C2C1C2(C)C,"171.00,134.40,118.30,66.60,42.10,40.80,36.80,28.90,28.10,25.60,24.20,22.80,22.10,21.10,18.30,15.40,13.80",Chloroform-d,62.5,nmrshiftdb2:2404
nmrshiftdb_2214,CC=C1CN2C3CC45c6ccccc6NC4(O3)C2CC1C5C(=O)OC,"172.50,147.50,136.30,135.20,127.90,125.10,120.80,120.30,110.50,106.30,87.40,52.00,51.80,51.50,51.20,46.40,40.60,31.10,26.00,12.70",Chloroform-d,100.0,nmrshiftdb2:2214
nmrshiftdb_2328,CC1=CCC(Br)C2(C)CCC(C(C)C)C(O)C12,"135.50,121.90,70.00,67.10,51.50,45.20,37.40,36.80,36.00,27.40,22.10,22.00,21.50,20.10,17.10",Chloroform-d,100.0,nmrshiftdb2:2328
nmrshiftdb_2239,O=C1OC(C(=O)O)c2cc(O)c(OC3OC(CO)C(O)C(O)C3O)c3c(-c4ccccc4)ccc1c23,"174.10,167.10,148.60,145.50,145.10,139.00,131.70,131.40,130.60,128.40,128.10,127.60,127.30,126.50,126.20,125.50,121.20,118.60,103.90,82.20,77.80,77.60,74.70,71.40,62.70",Methanol-d4,125.0,nmrshiftdb2:2239
